"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","21","Login_WithInvalidCredentials_Returns400","","2026-09-06","passed","2026-09-06","","API","AccountsApiTests","Login_WithInvalidCredentials_Returns400"
"","14","Login_ReturnsCustomer","","2026-09-06","passed","2026-09-06","","API","AccountsApiTests","Login_ReturnsCustomer"
"","52","ReadingForeignAccount_IsRejected","","2026-09-06","passed","2026-09-06","","API","SecurityApiTests","ReadingForeignAccount_IsRejected"
"","8","CheckThatThrows_IsReportedAsABrokenTest_NotAsAVerdict","","2026-09-06","passed","2026-09-06","","Unit","KnownDefectTests","CheckThatThrows_IsReportedAsABrokenTest_NotAsAVerdict"
"","79","Transfer_WithoutAmountParameter_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Transfer_WithoutAmountParameter_IsRejected"
"","69","Withdraw_ExceedingBalance_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Withdraw_ExceedingBalance_IsRejected"
"","54","Deposit_NegativeAmount_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Deposit_NegativeAmount_IsRejected"
"","55","Transfer_ToSameAccount_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Transfer_ToSameAccount_IsRejected"
"","306","TransferPage_ListsAccounts","","2026-09-06","passed","2026-09-06","","UI","TransferTests","TransferPage_ListsAccounts"
"","91","Transfer_InvalidAmount_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Transfer_InvalidAmount_IsRejected"
"","460","Login_WithValidCredentials_LandsOnOverview","","2026-09-06","passed","2026-09-06","","UI","LoginTests","Login_WithValidCredentials_LandsOnOverview"
"","520","Transfer_ReachableFromOverview","","2026-09-06","passed","2026-09-06","","UI","TransferTests","Transfer_ReachableFromOverview"
"","279","Overview_LoadsForLoggedInUser","","2026-09-06","passed","2026-09-06","","UI","OverviewTests","Overview_LoadsForLoggedInUser"
"","47","Account_HasRequiredFields","","2026-09-06","passed","2026-09-06","","API","AccountsApiTests","Account_HasRequiredFields"
"","58","Withdraw_NegativeAmount_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Withdraw_NegativeAmount_IsRejected"
"","357","LoginPage_HasRegisterLink","","2026-09-06","passed","2026-09-06","","UI","LoginTests","LoginPage_HasRegisterLink"
"","17","Customer_HasAccounts","","2026-09-06","passed","2026-09-06","","API","AccountsApiTests","Customer_HasAccounts"
"","282","Overview_ShowsAtLeastOneAccount","","2026-09-06","passed","2026-09-06","","UI","OverviewTests","Overview_ShowsAtLeastOneAccount"
"","51","WithdrawingFromForeignAccount_IsRejected","","2026-09-06","passed","2026-09-06","","API","SecurityApiTests","WithdrawingFromForeignAccount_IsRejected"
"","408","Transfer_ValidAmount_Completes","","2026-09-06","passed","2026-09-06","","UI","TransferTests","Transfer_ValidAmount_Completes"
"","51","ReadingForeignCustomerPii_IsRejected","","2026-09-06","passed","2026-09-06","","API","SecurityApiTests","ReadingForeignCustomerPii_IsRejected"
"","25","GetAccountById_MatchesAccountFromList","","2026-09-06","passed","2026-09-06","","API","AccountsApiTests","GetAccountById_MatchesAccountFromList"
"","706","Login_WithInvalidCredentials_ShowsError","","2026-09-06","passed","2026-09-06","","UI","LoginTests","Login_WithInvalidCredentials_ShowsError"
"","74","MoneyTheft_IsCurrentlyPossible","","2026-09-06","passed","2026-09-06","","API","SecurityApiTests","MoneyTheft_IsCurrentlyPossible"
"","122","Transfer_InvalidAmount_IsRejected","","2026-09-06","passed","2026-09-06","","API","DefectRegisterApiTests","Transfer_InvalidAmount_IsRejected"
"","1","DefectStillPresent_Passes","","2026-09-06","passed","2026-09-06","","Unit","KnownDefectTests","DefectStillPresent_Passes"
"","337","Overview_HasNavigationLinks","","2026-09-06","passed","2026-09-06","","UI","OverviewTests","Overview_HasNavigationLinks"
"","14","DefectFixed_FailsAndSaysSo","","2026-09-06","passed","2026-09-06","","Unit","KnownDefectTests","DefectFixed_FailsAndSaysSo"
"","413","LoginPage_Loads","","2026-09-06","passed","2026-09-06","","UI","LoginTests","LoginPage_Loads"
