"BROKEN","EPIC","FAILED","FEATURE","PASSED","SKIPPED","STORY","UNKNOWN"
"0","","0","Authentication","4","0","UI login","0"
"0","","0","Accounts","3","0","Accounts API","0"
"0","","0","Accounts","3","0","Accounts overview","0"
"0","","0","Accounts","2","0","Login API","0"
"0","","0","Transfers","3","0","Transfer funds (UI)","0"
